"Time
(UTC)",Latitude,Longitude,"Altitude
(feet)","Air
Pressure
Altitude","Air
Temp
at FL
(°C)","Speed
Sound
(knots)",Mach,"TAS
(knots)","Wind
Speed
at FL
(knots)","Wind
From
at FL
(degT)","Track
(degT)","Ground
Speed
(knots)","Heading
(degT)","Distance
(km)","Along-Track
Wind
at FL
(knots)","Cross-Track
Wind
at FL
(knots)","∂SAT
at FL
(°C)","Aircraft
Weight
(kg)","Fuel
(kg)","Fuel
Right
(kg)","Fuel
Left
(kg)","Fuel Rate
Nominal
(kg/sec)","Fuel Rate
Right
(kg/sec)","Fuel Rate
Left
(kg/sec)"
20:47:05,-6.1540383467052,93.7535362135067,39300.0,192.097,-55.6236338405372,574.575049081952,0.840529817780232,482.947461305921,14.1649072803043,91.4798272192808,180.0,482.374017461913,178.319827561683,2307.12991753994,-0.36580853077965,14.1601829924061,0.87589295946286,194076.827033545,19707.8270335447,9718.44206846824,9989.38496507644,0.833337342085979,0.839587372151624,0.827087312020334
20:48:05,-6.28753282976357,93.7535362135067,39300.0,192.097,-55.6114090953131,574.591194101583,0.840534787410271,482.963887181988,14.2353544758829,92.8073518530955,180.0,482.057333430014,178.312990662171,2322.00942056515,-0.697218198552775,14.2182700719056,0.888117704686883,193976.826552494,19607.8265524944,9668.06682613914,9939.75972635522,0.832950276370973,0.839197403443755,0.826703149298191
20:49:05,-6.42093944843427,93.7535362135067,39300.0,192.097,-55.5990470186792,574.607520031239,0.840539757040309,482.980465280592,14.30348753468,94.1551319916773,180.0,481.733341640713,178.307396856551,2336.87892304379,-1.03639041806195,14.2658911588479,0.900479781320856,193876.87251933,19507.8725193298,9617.71498193252,9890.15753739733,0.832563761769029,0.838807989982297,0.826319533555761
20:50:05,-6.5542561760659,93.7535362135067,39300.0,192.097,-55.5865479396138,574.624026421053,0.840544726670348,482.997195226298,14.3693070653126,95.5231256367936,180.0,481.40237334532,178.303099397278,2351.73820963439,-1.38300995399519,14.3025965825927,0.912978860386256,193776.964867918,19407.9648679176,9567.38650253358,9840.57836538398,0.832177796500084,0.838419129973835,0.825936463026334
20:51:05,-6.68748107771601,93.7535362135067,39300.0,192.097,-55.5739121830639,574.640712826365,0.840549696300387,483.014076648039,14.4328138164547,96.9112911098768,180.0,481.064784461694,178.300151141317,2366.58707598144,-1.7367362258605,14.3279399057307,0.925614616936135,193677.103532338,19308.1035323376,9517.08135473515,9791.0221776024,0.831792378798809,0.8380308216398,0.825553935957817
20:52:05,-6.82061231697737,93.7535362135067,39300.0,192.097,-55.5611400690631,574.657578808886,0.840554665930425,483.03110918009,14.4940086782803,98.3195871605361,180.0,480.72095580226,178.298604390961,2381.42532948387,-2.09720293697074,14.3414792614718,0.93838673093695,193577.288446882,19208.2884468817,9466.79950543676,9741.48894144494,0.831407506917069,0.837643063218947,0.825171950615191
20:53:05,-6.95364816286711,93.7535362135067,39300.0,192.097,-55.5482319118215,574.674623937898,0.840559635560464,483.048292463086,14.5528926836103,99.7479730789875,180.0,480.371293240588,178.298510729062,2396.25279006856,-2.46401776055131,14.3427787383187,0.951294888178557,193477.519546052,19108.5195460516,9416.54092164363,9691.97862440802,0.831023179126461,0.837255852969909,0.824790505283012
20:54:05,-7.08658699676187,93.7535362135067,39300.0,192.097,-55.5447032657314,574.679283401748,0.840564605190502,483.055064963751,14.2689254157772,99.9164675320783,180.0,480.393243976063,178.332594650581,2411.08092819929,-2.45728340934464,14.055745827496,0.954823534268577,193377.796764556,19008.7967645565,9366.30557046543,9642.49119409104,0.830612420936919,0.836842014093946,0.824382827779892
20:55:05,-7.21953165531003,93.7535362135067,39300.0,192.097,-55.5462211964778,574.677279027571,0.840569574820541,483.056236091231,13.7997206386122,99.3880687452287,180.0,480.613313319402,178.38491059084,2425.91585913708,-2.25101754061436,13.6148892663726,0.953305603522223,193278.123274044,18909.123274044,9316.09504961979,9593.02822442425,0.830187562355959,0.836413969073629,0.823961155638289
20:56:05,-7.35253696133905,93.7535362135067,39300.0,192.097,-55.547713452262,574.675308549465,0.84057454445058,483.057435690963,13.3272572156434,98.8408069091018,180.0,480.829638228392,178.437831863778,2440.75746730373,-2.04826120936334,13.1689183652317,0.951813347738005,193178.500766561,18809.5007665613,9265.91021147538,9543.59055508595,0.829762995938183,0.835986218407719,0.823539773468647
20:57:05,-7.48560187362378,93.7535362135067,39300.0,192.097,-55.5491799983135,574.673372013692,0.840579514080618,483.058663802339,12.8515363903898,98.2746737276048,180.0,481.041643749666,178.491368851866,2455.60561937414,-1.84957756635874,12.7177454927961,0.950346801686538,193078.929207049,18709.9292070487,9215.75103837091,9494.17816867783,0.829338721520636,0.835558761932041,0.823118681109232
20:58:05,-7.61872519182763,93.7535362135067,39300.0,192.097,-55.5506207977676,574.671469469273,0.840584483710657,483.059920467073,12.3725599667051,97.6896618853776,180.0,481.248744037838,178.5455301636,2470.4601639401,-1.65553978401993,12.2612979799547,0.948906002232408,192979.408560466,18610.4085604663,9165.61751265499,9444.79104781128,0.828914738946287,0.835131599488385,0.82269787840419
20:59:05,-7.75190555349038,93.7535362135067,39300.0,192.097,-55.5520358116983,574.669600967948,0.840589453340696,483.061205729163,11.8903303276813,97.0857651167299,180.0,481.450342550752,178.600322493485,2485.32093118017,-1.46673089429391,11.799519303137,0.947490988301686,192879.938791793,18510.9387917927,9115.50961668569,9395.42917510703,0.828491048063917,0.834704730924396,0.822277365203437
21:00:05,-7.88514143107019,93.7535362135067,39300.0,192.097,-55.5536577096305,574.667459272418,0.840594422970734,483.062261327156,11.4104969842748,96.4642542170792,180.0,481.644554841466,178.65508749535,2500.18769310628,-1.28463163987222,11.3379523273819,0.945869090369551,192780.519866025,18411.519866025,9065.42733283023,9346.09253319482,0.828066991061422,0.834277493494383,0.821856488628461
21:01:05,-8.0184307755338,93.7535362135067,39300.0,192.097,-55.5585782743356,574.660961680653,0.840599392600773,483.059655340133,11.0249694939532,95.7607331784396,180.0,481.82846906514,178.698818941855,2515.06013185142,-1.10662521187062,10.9692904503004,0.94094852566438,192681.151827098,18312.1518270977,9015.37068322056,9296.78114387712,0.827633835684035,0.833841089451665,0.821426581916404
