Date,"Time
(UTC)","Decimal Time
(UTC)","Time
Seconds
(UTC)",Channel Name,"Ocean
Region","GES ID
(octal)","Channel
Unit ID",ChannelType,SU Type,BFO(Hz),BTO(us)
7/03/2014,16:06:38.405,16.1106680555556,57998.4050000002,IOR-P10500-0-3859,IOR,305.0,10.0,P-Channel TX,Subsequent Signalling Unit,,
7/03/2014,16:06:38.405,16.1106680555556,57998.4050000002,IOR-P10500-0-3859,IOR,305.0,10.0,P-Channel TX,Subsequent Signalling Unit,,
7/03/2014,16:06:38.405,16.1106680555556,57998.4050000002,IOR-P10500-0-3859,IOR,305.0,10.0,P-Channel TX,Subsequent Signalling Unit,,
7/03/2014,16:06:38.405,16.1106680555556,57998.4050000002,IOR-P10500-0-3859,IOR,305.0,10.0,P-Channel TX,Subsequent Signalling Unit,,
7/03/2014,16:06:38.405,16.1106680555556,57998.4050000002,IOR-P10500-0-3859,IOR,305.0,10.0,P-Channel TX,Subsequent Signalling Unit,,
7/03/2014,16:06:38.405,16.1106680555556,57998.4050000002,IOR-P10500-0-3859,IOR,305.0,10.0,P-Channel TX,Subsequent Signalling Unit,,
7/03/2014,16:06:38.405,16.1106680555556,57998.4050000002,IOR-P10500-0-3859,IOR,305.0,10.0,P-Channel TX,Subsequent Signalling Unit,,
7/03/2014,16:06:38.405,16.1106680555556,57998.4050000002,IOR-P10500-0-3859,IOR,305.0,10.0,P-Channel TX,Subsequent Signalling Unit,,
7/03/2014,16:06:38.405,16.1106680555556,57998.4050000002,IOR-P10500-0-3859,IOR,305.0,10.0,P-Channel TX,Subsequent Signalling Unit,,
7/03/2014,16:06:38.405,16.1106680555556,57998.4050000002,IOR-P10500-0-3859,IOR,305.0,10.0,P-Channel TX,Subsequent Signalling Unit,,
7/03/2014,16:06:38.405,16.1106680555556,57998.4050000002,IOR-P10500-0-3859,IOR,305.0,10.0,P-Channel TX,Subsequent Signalling Unit,,
7/03/2014,16:06:38.405,16.1106680555556,57998.4050000002,IOR-P10500-0-3859,IOR,305.0,10.0,P-Channel TX,Subsequent Signalling Unit,,
7/03/2014,16:06:38.405,16.1106680555556,57998.4050000002,IOR-P10500-0-3859,IOR,305.0,10.0,P-Channel TX,Subsequent Signalling Unit,,
7/03/2014,16:06:38.405,16.1106680555556,57998.4050000002,IOR-P10500-0-3859,IOR,305.0,10.0,P-Channel TX,Subsequent Signalling Unit,,
7/03/2014,16:06:38.405,16.1106680555556,57998.4050000002,IOR-P10500-0-3859,IOR,305.0,10.0,P-Channel TX,Subsequent Signalling Unit,,
7/03/2014,16:06:38.405,16.1106680555556,57998.4050000002,IOR-P10500-0-3859,IOR,305.0,10.0,P-Channel TX,Subsequent Signalling Unit,,
7/03/2014,16:06:38.405,16.1106680555556,57998.4050000002,IOR-P10500-0-3859,IOR,305.0,10.0,P-Channel TX,Subsequent Signalling Unit,,
7/03/2014,16:06:38.405,16.1106680555556,57998.4050000002,IOR-P10500-0-3859,IOR,305.0,10.0,P-Channel TX,Subsequent Signalling Unit,,
7/03/2014,16:06:38.405,16.1106680555556,57998.4050000002,IOR-P10500-0-3859,IOR,305.0,10.0,P-Channel TX,Subsequent Signalling Unit,,
7/03/2014,16:06:38.405,16.1106680555556,57998.4050000002,IOR-P10500-0-3859,IOR,305.0,10.0,P-Channel TX,Subsequent Signalling Unit,,
7/03/2014,16:06:38.405,16.1106680555556,57998.4050000002,IOR-P10500-0-3859,IOR,305.0,10.0,P-Channel TX,Subsequent Signalling Unit,,
7/03/2014,16:06:38.905,16.1108069444444,57998.9049999998,IOR-P10500-0-3859,IOR,305.0,10.0,P-Channel TX,Subsequent Signalling Unit,,
7/03/2014,16:06:38.905,16.1108069444444,57998.9049999998,IOR-P10500-0-3859,IOR,305.0,10.0,P-Channel TX,Subsequent Signalling Unit,,
7/03/2014,16:06:38.905,16.1108069444444,57998.9049999998,IOR-P10500-0-3859,IOR,305.0,10.0,P-Channel TX,Subsequent Signalling Unit,,
7/03/2014,16:06:38.905,16.1108069444444,57998.9049999998,IOR-P10500-0-3859,IOR,305.0,10.0,P-Channel TX,Subsequent Signalling Unit,,
7/03/2014,16:06:38.905,16.1108069444444,57998.9049999998,IOR-P10500-0-3859,IOR,305.0,10.0,P-Channel TX,Subsequent Signalling Unit,,
7/03/2014,16:06:38.905,16.1108069444444,57998.9049999998,IOR-P10500-0-3859,IOR,305.0,10.0,P-Channel TX,Subsequent Signalling Unit,,
7/03/2014,16:06:40.907,16.1113630555556,58000.9070000002,IOR-R1200-0-36D3,IOR,305.0,8.0,R-Channel RX,0x62 - Acknowledge User Data (R-channel),87.0,14820.0
7/03/2014,16:06:41.409,16.1115025,58001.409,IOR-R1200-0-36D3,IOR,305.0,8.0,R-Channel RX,Eleven Octet User Data,87.0,14820.0
7/03/2014,16:06:41.906,16.1116405555556,58001.9060000002,IOR-R1200-0-36D3,IOR,305.0,8.0,R-Channel RX,Eleven Octet User Data,87.0,14800.0
7/03/2014,16:06:42.406,16.1117794444444,58002.4059999998,IOR-R1200-0-36D3,IOR,305.0,8.0,R-Channel RX,Eight Octet User Data,87.0,14880.0
7/03/2014,16:06:42.906,16.1119183333333,58002.9059999999,IOR-P10500-0-3859,IOR,305.0,10.0,P-Channel TX,0x62 - Acknowledge User Data,,
7/03/2014,16:06:44.405,16.1123347222222,58004.4049999999,IOR-P10500-0-3859,IOR,305.0,10.0,P-Channel TX,0x71 - User Data (ISU) - RLS,,
7/03/2014,16:06:44.405,16.1123347222222,58004.4049999999,IOR-P10500-0-3859,IOR,305.0,10.0,P-Channel TX,Subsequent Signalling Unit,,
7/03/2014,16:06:44.405,16.1123347222222,58004.4049999999,IOR-P10500-0-3859,IOR,305.0,10.0,P-Channel TX,Subsequent Signalling Unit,,
7/03/2014,16:06:44.405,16.1123347222222,58004.4049999999,IOR-P10500-0-3859,IOR,305.0,10.0,P-Channel TX,Subsequent Signalling Unit,,
7/03/2014,16:06:44.405,16.1123347222222,58004.4049999999,IOR-P10500-0-3859,IOR,305.0,10.0,P-Channel TX,Subsequent Signalling Unit,,
7/03/2014,16:06:44.405,16.1123347222222,58004.4049999999,IOR-P10500-0-3859,IOR,305.0,10.0,P-Channel TX,Subsequent Signalling Unit,,
7/03/2014,16:06:44.405,16.1123347222222,58004.4049999999,IOR-P10500-0-3859,IOR,305.0,10.0,P-Channel TX,Subsequent Signalling Unit,,
7/03/2014,16:06:44.405,16.1123347222222,58004.4049999999,IOR-P10500-0-3859,IOR,305.0,10.0,P-Channel TX,Subsequent Signalling Unit,,
7/03/2014,16:06:44.405,16.1123347222222,58004.4049999999,IOR-P10500-0-3859,IOR,305.0,10.0,P-Channel TX,Subsequent Signalling Unit,,
7/03/2014,16:06:44.405,16.1123347222222,58004.4049999999,IOR-P10500-0-3859,IOR,305.0,10.0,P-Channel TX,Subsequent Signalling Unit,,
7/03/2014,16:06:44.405,16.1123347222222,58004.4049999999,IOR-P10500-0-3859,IOR,305.0,10.0,P-Channel TX,Subsequent Signalling Unit,,
7/03/2014,16:06:44.405,16.1123347222222,58004.4049999999,IOR-P10500-0-3859,IOR,305.0,10.0,P-Channel TX,Subsequent Signalling Unit,,
7/03/2014,16:06:44.405,16.1123347222222,58004.4049999999,IOR-P10500-0-3859,IOR,305.0,10.0,P-Channel TX,Subsequent Signalling Unit,,
7/03/2014,16:06:44.405,16.1123347222222,58004.4049999999,IOR-P10500-0-3859,IOR,305.0,10.0,P-Channel TX,Subsequent Signalling Unit,,
7/03/2014,16:06:44.405,16.1123347222222,58004.4049999999,IOR-P10500-0-3859,IOR,305.0,10.0,P-Channel TX,Subsequent Signalling Unit,,
7/03/2014,16:06:44.405,16.1123347222222,58004.4049999999,IOR-P10500-0-3859,IOR,305.0,10.0,P-Channel TX,Subsequent Signalling Unit,,
7/03/2014,16:06:44.405,16.1123347222222,58004.4049999999,IOR-P10500-0-3859,IOR,305.0,10.0,P-Channel TX,Subsequent Signalling Unit,,
7/03/2014,16:06:44.405,16.1123347222222,58004.4049999999,IOR-P10500-0-3859,IOR,305.0,10.0,P-Channel TX,Subsequent Signalling Unit,,
7/03/2014,16:06:44.405,16.1123347222222,58004.4049999999,IOR-P10500-0-3859,IOR,305.0,10.0,P-Channel TX,Subsequent Signalling Unit,,
7/03/2014,16:06:44.405,16.1123347222222,58004.4049999999,IOR-P10500-0-3859,IOR,305.0,10.0,P-Channel TX,Subsequent Signalling Unit,,
7/03/2014,16:06:46.416,16.1128933333333,58006.4159999999,IOR-R1200-0-36D3,IOR,305.0,8.0,R-Channel RX,0x62 - Acknowledge User Data (R-channel),90.0,14840.0
7/03/2014,16:06:46.906,16.1130294444444,58006.9059999998,IOR-R1200-0-36D3,IOR,305.0,8.0,R-Channel RX,Eleven Octet User Data,86.0,14780.0
7/03/2014,16:06:47.406,16.1131683333333,58007.4059999999,IOR-R1200-0-36D3,IOR,305.0,8.0,R-Channel RX,Eleven Octet User Data,88.0,14840.0
7/03/2014,16:06:47.907,16.1133075,58007.907,IOR-R1200-0-36D3,IOR,305.0,8.0,R-Channel RX,Eight Octet User Data,87.0,14800.0
7/03/2014,16:06:48.405,16.1134458333333,58008.4049999999,IOR-P10500-0-3859,IOR,305.0,10.0,P-Channel TX,0x62 - Acknowledge User Data,,
7/03/2014,16:06:50.405,16.1140013888889,58010.405,IOR-P10500-0-3859,IOR,305.0,10.0,P-Channel TX,0x71 - User Data (ISU) - RLS,,
7/03/2014,16:06:50.405,16.1140013888889,58010.405,IOR-P10500-0-3859,IOR,305.0,10.0,P-Channel TX,Subsequent Signalling Unit,,
7/03/2014,16:06:50.405,16.1140013888889,58010.405,IOR-P10500-0-3859,IOR,305.0,10.0,P-Channel TX,Subsequent Signalling Unit,,
7/03/2014,16:06:50.405,16.1140013888889,58010.405,IOR-P10500-0-3859,IOR,305.0,10.0,P-Channel TX,Subsequent Signalling Unit,,
7/03/2014,16:06:50.405,16.1140013888889,58010.405,IOR-P10500-0-3859,IOR,305.0,10.0,P-Channel TX,Subsequent Signalling Unit,,
7/03/2014,16:06:50.405,16.1140013888889,58010.405,IOR-P10500-0-3859,IOR,305.0,10.0,P-Channel TX,Subsequent Signalling Unit,,
7/03/2014,16:06:50.405,16.1140013888889,58010.405,IOR-P10500-0-3859,IOR,305.0,10.0,P-Channel TX,Subsequent Signalling Unit,,
7/03/2014,16:06:50.405,16.1140013888889,58010.405,IOR-P10500-0-3859,IOR,305.0,10.0,P-Channel TX,Subsequent Signalling Unit,,
7/03/2014,16:06:50.405,16.1140013888889,58010.405,IOR-P10500-0-3859,IOR,305.0,10.0,P-Channel TX,Subsequent Signalling Unit,,
7/03/2014,16:06:50.405,16.1140013888889,58010.405,IOR-P10500-0-3859,IOR,305.0,10.0,P-Channel TX,Subsequent Signalling Unit,,
7/03/2014,16:06:50.405,16.1140013888889,58010.405,IOR-P10500-0-3859,IOR,305.0,10.0,P-Channel TX,Subsequent Signalling Unit,,
7/03/2014,16:06:50.405,16.1140013888889,58010.405,IOR-P10500-0-3859,IOR,305.0,10.0,P-Channel TX,Subsequent Signalling Unit,,
7/03/2014,16:06:50.405,16.1140013888889,58010.405,IOR-P10500-0-3859,IOR,305.0,10.0,P-Channel TX,Subsequent Signalling Unit,,
7/03/2014,16:06:50.405,16.1140013888889,58010.405,IOR-P10500-0-3859,IOR,305.0,10.0,P-Channel TX,Subsequent Signalling Unit,,
