Latitude,Longitude,"Time
(UTC)","Seconds
(UTC)","Wind
Speed
350 hPa
(knots)","Wind
Speed
300 hPa
(knots)","Wind
Speed
250 hPa
(knots)","Wind
Speed
200 hPa
(knots)","Wind
Speed
150 hPa
(knots)","Wind
From
350 hPa
(degT)","Wind
From
300 hPa
(degT)","Wind
From
250 hPa
(degT)","Wind
From
200 hPa
(degT)","Wind
From
150 hPa
(degT)"
-36,91,2019-06-28 03:00:00,97200,42.8797291246731,42.1451307458519,41.7709522223431,45.0846225127956,38.0457594594466,241.576103356173,240.124007308311,238.899063092751,247.969225127543,248.41603075823
-36,92,2019-03-09 18:00:00,64800,38.0725651855493,38.5371766700359,41.1200075512537,41.9366147875443,39.7462727502579,239.638278538374,239.036243467926,247.1926222612,259.315087599997,241.680265838029
-36,92,2019-03-09 21:00:00,75600,35.5893455153572,39.1157349946524,40.2164466987732,44.3895095726416,36.5303153332858,240.915000264775,234.098229145548,240.461217740442,252.675910460029,247.802282153577
-36,92,2019-03-09 00:00:00,86400,40.3576010761511,46.2622737917897,49.0349944217716,48.9115464632702,40.5723700208823,247.634875631353,235.441881024275,234.356707987529,247.81803373678,248.351514828932
-36,92,2019-06-28 03:00:00,97200,47.2242207343155,49.4760931073511,49.2717609938355,48.7316037738187,40.5886646134751,241.74716374848,239.808377039042,238.881180843763,247.731746345351,249.82934658815
-36,93,2019-03-09 18:00:00,64800,42.217689023328,43.2949634745837,45.6654541234598,44.0309741155371,43.2949634745837,240.484169713916,242.744671625057,247.473939453271,258.541247654123,242.744671625057
-36,93,2019-03-09 21:00:00,75600,39.2945171201519,42.304862636835,44.2535314398661,45.765877372012,39.2454452601433,242.927919762007,238.720194304217,242.534499905921,253.720326797869,249.410739839492
-36,93,2019-03-09 00:00:00,86400,43.6469926420245,50.3069057716736,53.5549442411765,51.6232546311956,42.9567643075479,247.203478532057,235.38885781547,234.752424941654,249.039936588281,248.776343497234
-36,93,2019-06-28 03:00:00,97200,49.6415412279888,54.3056717186041,55.9722587415382,52.3396147561669,43.1533477321814,242.732583908039,239.212104731235,239.07036840702,248.198590513648,251.075355583949
-36,94,2019-03-09 18:00:00,64800,46.7897542140659,48.1826471263723,49.6324064291822,46.1326352142851,46.6850586704006,241.731487212871,245.192571026858,248.156920863167,257.837796480318,244.075098492446
-36,94,2019-03-09 21:00:00,75600,42.858575276462,45.2915766738661,47.8438536142062,47.2398206094558,42.7314322749083,243.899813101183,243.215004492498,245.517514102653,256.192480983799,250.328643574222
