Latitude,Longitude,"Time
(UTC)","Seconds
(UTC)","Air
Temp
350 hPa
(°C)","Air
Temp
300 hPa
(°C)","Air
Temp
250 hPa
(°C)","Air
Temp
200 hPa
(°C)","Air
Temp
150 hPa
(°C)","∂SAT
350 hPa
26,632 ft
(°K)","∂SAT
300 hPa
30,066 ft
(°K)","∂SAT
250 hPa
34,000 ft
(°K)","∂SAT
200 hPa
38,632 ft
(°K)","∂SAT
150 hPa
44,321 ft
(°K)"
15,96,2019-03-09 21:00:00,75600,-22.75,-31.25,-41.05,-53.75,-65.55,15.0133184,13.3167592,11.3108,2.74952680000004,-9.05047319999997
15,96,2019-03-09 00:00:00,86400,-23.45,-31.25,-40.85,-53.45,-66.85,14.3133184,13.3167592,11.5108,3.04952680000002,-10.3504732
15,96,2019-06-28 03:00:00,97200,-23.75,-31.25,-41.25,-53.75,-67.25,14.0133184,13.3167592,11.1108,2.74952680000004,-10.7504732
15,97,2019-03-09 18:00:00,64800,-22.55,-31.05,-41.65,-54.15,-63.95,15.2133184,13.5167592,10.7108,2.34952680000004,-7.45047319999998
15,97,2019-03-09 21:00:00,75600,-22.65,-31.25,-41.05,-54.25,-65.45,15.1133184,13.3167592,11.3108,2.24952680000004,-8.95047319999998
15,97,2019-03-09 00:00:00,86400,-23.35,-31.45,-41.15,-53.85,-66.85,14.4133184,13.1167592,11.2108,2.64952680000005,-10.3504732
15,97,2019-06-28 03:00:00,97200,-23.45,-31.65,-41.45,-53.75,-67.05,14.3133184,12.9167592,10.9108,2.74952680000004,-10.5504732
15,98,2019-03-09 18:00:00,64800,-22.95,-30.85,-41.95,-54.05,-64.25,14.8133184,13.7167592,10.4108,2.44952680000003,-7.75047319999996
15,98,2019-03-09 21:00:00,75600,-22.85,-31.15,-41.45,-54.15,-65.35,14.9133184,13.4167592,10.9108,2.34952680000004,-8.85047319999995
15,98,2019-03-09 00:00:00,86400,-23.35,-31.45,-41.25,-54.35,-66.55,14.4133184,13.1167592,11.1108,2.14952680000005,-10.0504732
15,98,2019-06-28 03:00:00,97200,-23.35,-31.55,-41.45,-54.05,-67.25,14.4133184,13.0167592,10.9108,2.44952680000003,-10.7504732
15,99,2019-03-09 18:00:00,64800,-22.35,-30.55,-41.95,-53.85,-64.95,15.4133184,14.0167592,10.4108,2.64952680000005,-8.45047319999998
15,99,2019-03-09 21:00:00,75600,-22.65,-30.95,-41.95,-53.55,-66.55,15.1133184,13.6167592,10.4108,2.94952680000003,-10.0504732
15,99,2019-03-09 00:00:00,86400,-23.15,-31.35,-41.45,-54.25,-66.75,14.6133184,13.2167592,10.9108,2.24952680000004,-10.2504732
15,99,2019-06-28 03:00:00,97200,-23.35,-31.55,-41.65,-54.35,-67.05,14.4133184,13.0167592,10.7108,2.14952680000005,-10.5504732
15,100,2019-03-09 18:00:00,64800,-22.35,-30.55,-42.05,-53.75,-65.65,15.4133184,14.0167592,10.3108,2.74952680000004,-9.15047319999996
15,100,2019-03-09 21:00:00,75600,-22.75,-31.05,-42.35,-53.75,-66.45,15.0133184,13.5167592,10.0108,2.74952680000004,-9.95047319999998
15,100,2019-03-09 00:00:00,86400,-23.15,-31.55,-41.95,-54.25,-66.45,14.6133184,13.0167592,10.4108,2.24952680000004,-9.95047319999998
15,100,2019-06-28 03:00:00,97200,-23.55,-31.85,-41.95,-54.45,-66.55,14.2133184,12.7167592,10.4108,2.04952680000002,-10.0504732
15,101,2019-03-09 18:00:00,64800,-22.45,-30.75,-42.15,-53.35,-66.15,15.3133184,13.8167592,10.2108,3.14952680000005,-9.65047319999996
15,101,2019-03-09 21:00:00,75600,-22.95,-31.15,-42.45,-53.85,-66.45,14.8133184,13.4167592,9.91079999999999,2.64952680000005,-9.95047319999998
15,101,2019-03-09 00:00:00,86400,-23.15,-31.65,-42.25,-53.95,-66.35,14.6133184,12.9167592,10.1108,2.54952680000002,-9.85047319999995
15,101,2019-06-28 03:00:00,97200,-23.45,-31.85,-41.95,-54.45,-66.55,14.3133184,12.7167592,10.4108,2.04952680000002,-10.0504732
