time,band,tx_sign,tx_lat,tx_lon,rx_sign,rx_lat,rx_lon,frequency,snr,drift,power,distance,snr_z,drift_z,arc_id
2014-03-07 19:42:00,28,KZ8C,38.521,-82.708,OZ7IT,55.229,12.292,28126093,-21,-1,37,6871,-6.408,,ping-194102
2014-03-07 19:46:00,28,KB4RG,29.563,-98.125,CT1JTQ,37.021,-8.958,28126019,-8,0,37,8018,5.396,,ping-194102
2014-03-07 19:48:00,10,N1NCO,42.479,-71.458,GM4EFR,58.604,-3.375,10140226,-20,0,37,4888,-16.862,,ping-194102
2014-03-07 19:48:00,14,K4RCG,38.479,-78.042,DL5RBD,49.063,12.875,14097164,-26,0,37,6949,-6.408,,ping-194102
2014-03-07 19:48:00,14,HA2RD,47.063,17.875,2E0DSS,52.479,-2.042,14097016,10,0,30,1546,10.117,,ping-194102
2014-03-07 19:48:00,28,G0PKT,51.479,0.958,AI4RY,32.604,-85.458,28126063,-11,0,23,7003,6.070,,ping-194102
2014-03-07 19:48:00,28,VE4KE,51.188,-98.375,DJ6LB,49.521,11.042,28126164,-27,-3,37,6981,-5.565,,ping-194102
2014-03-07 19:52:00,14,HA2RD,47.063,17.875,M5ADA,53.479,-1.125,14097027,9,1,30,1521,19.560,,ping-194102
2014-03-07 19:52:00,14,HA2RD,47.063,17.875,2E0DSS,52.479,-2.042,14097014,4,1,30,1546,8.094,,ping-194102
2014-03-07 19:52:00,28,AC7SM,36.188,-115.292,GM4WJA,57.563,-2.958,28126095,-16,1,37,7839,12.141,,ping-194102
2014-03-07 19:58:00,28,W5COV,36.979,-95.625,KX3DX,40.563,-75.125,28126058,-22,0,37,1817,-10.455,,ping-194102
2014-03-07 20:28:00,14,VK3DXE,-38.104,145.125,DG7RJ,48.313,11.625,14097175,-21,-1,37,16145,6.070,,ping-204104
2014-03-07 20:28:00,28,WG2Z,41.021,-74.792,PA0O,53.271,6.625,28126099,-4,0,37,5960,6.970,,ping-204104
2014-03-07 20:28:00,28,PD5MVH,52.021,4.292,PA1GVZ,52.021,4.542,28126118,-18,-1,37,17,6.070,,ping-204104
2014-03-07 20:30:00,10,G4PMB,51.021,-4.208,DK6UG,49.521,8.208,10140180,-21,2,37,897,-6.745,,ping-204104
2014-03-07 20:30:00,14,K4COD,33.104,-84.458,DL5RBD,49.063,12.875,14097161,-13,-1,37,7780,-5.396,,ping-204104
2014-03-07 20:30:00,28,NH7SR,21.313,-157.792,KE5HPY,29.479,-95.042,28126144,-16,0,37,6296,5.059,,ping-204104
2014-03-07 20:30:00,28,W5COV,36.979,-95.625,PA0O,53.271,6.625,28126049,-22,0,37,7519,-8.544,,ping-204104
2014-03-07 20:32:00,10,ON7KO,51.188,4.208,SQ9DIQ,50.021,18.458,10140230,-21,0,37,1012,-6.295,,ping-204104
2014-03-07 20:34:00,28,KC2GMM,41.104,-74.292,KX3DX,40.563,-75.125,28126115,-13,-1,37,92,-5.396,,ping-204104
2014-03-07 20:34:00,28,WK0I,32.854,-97.042,W3CSW,39.146,-77.125,28126093,-24,0,37,1918,-20.235,,ping-204104
2014-03-07 20:34:00,28,KC2GMM,41.104,-74.292,WA5NGP,30.563,-97.792,28126124,8,0,37,2410,5.396,,ping-204104
2014-03-07 20:34:00,28,WK0I,32.854,-97.042,WA3DNM,39.479,-75.042,28126090,0,0,37,2101,-5.396,,ping-204104
2014-03-07 20:40:00,28,N7SCQ,38.438,-121.792,CT1JTQ,37.021,-8.958,28126121,-27,0,30,9167,-8.094,,ping-204104
2014-03-07 20:40:00,28,WA3DNM,39.938,-75.542,WA7HL,31.438,-109.792,28126140,-18,0,37,3212,5.396,,ping-204104
2014-03-07 20:42:00,1,DH5RAE,48.896,13.375,OE1MSB,48.229,16.292,1838151,-11,0,37,227,-6.070,,ping-204104
2014-03-07 20:44:00,10,ON7KO,51.188,4.208,SQ9DIQ,50.021,18.458,10140229,-25,0,37,1012,-8.094,,ping-204104
