time,band,tx_sign,tx_lat,tx_lon,rx_sign,rx_lat,rx_lon,frequency,snr,drift,power,distance,snr_z,drift_z
2014-03-07 23:40:00,14,AA7FV,32.271,-110.708,W4AC,26.521,-82.958,14.097171,-11,1,33,2749,,
2014-03-07 23:40:00,14,AA7FV,32.271,-110.708,W4MO,27.521,-82.958,14.097189,-9,-1,33,2712,,
2014-03-07 23:40:00,14,AA7FV,32.271,-110.708,AD4PT,32.979,-97.125,14.097147,3,0,33,1274,,
2014-03-07 23:40:00,14,AA7FV,32.271,-110.708,KB1MVX,33.521,-84.958,14.097141,-7,-1,33,2395,,
2014-03-07 23:40:00,14,AA7FV,32.271,-110.708,K4COD,33.104,-84.458,14.097149,2,0,33,2452,,
2014-03-07 23:40:00,14,AA7FV,32.271,-110.708,W9HLY,40.812,-84.958,14.097149,0,0,33,2477,,
2014-03-07 23:40:00,14,AA7FV,32.271,-110.708,K4RCG,38.479,-78.042,14.097159,-8,0,33,3024,,
2014-03-07 23:40:00,14,AA7FV,32.271,-110.708,W3GXT,39.479,-76.792,14.097148,0,0,33,3139,,
2014-03-07 23:40:00,14,AA7FV,32.271,-110.708,WA3DNM,39.521,-74.958,14.097148,-8,0,33,3289,,
2014-03-07 23:44:00,14,AA7FV,32.271,-110.708,K6CCA,37.146,-121.625,14.097149,6,0,33,1135,,
2014-03-07 23:44:00,14,AA7FV,32.271,-110.708,AF6CH,39.021,-119.875,14.097141,1,0,33,1117,,
2014-03-08 00:10:00,14,AA7FV,32.271,-110.708,AF6CH,39.021,-119.875,14.097142,-7,0,33,1117,,
2014-03-08 00:10:00,14,AA7FV,32.271,-110.708,N6RY,33.146,-117.292,14.097148,-13,0,33,623,,
2014-03-08 00:10:00,14,AA7FV,32.271,-110.708,W4AC,26.521,-82.958,14.097171,-16,0,33,2749,,
2014-03-08 00:10:00,14,AA7FV,32.271,-110.708,AD4PT,32.979,-97.125,14.097146,-4,0,33,1274,,
2014-03-08 00:10:00,14,AA7FV,32.271,-110.708,WA5ETV,35.521,-96.958,14.097147,-26,0,33,1310,,
2014-03-08 00:10:00,10,AA7FV,32.271,-110.708,KU4PY,32.396,-86.125,10.140248,-3,0,33,2305,,
2014-03-08 00:10:00,14,AA7FV,32.271,-110.708,K4EH,33.521,-84.958,14.097183,-9,0,33,2395,,
